date_id,full_date,year,quarter,month,month_name,day_of_month,day_name,is_weekend
20220912,2022-09-12,2022,3,9,Sep,12,Monday,False
20220913,2022-09-13,2022,3,9,Sep,13,Tuesday,False
20220914,2022-09-14,2022,3,9,Sep,14,Wednesday,False
20220915,2022-09-15,2022,3,9,Sep,15,Thursday,False
20220916,2022-09-16,2022,3,9,Sep,16,Friday,False
20220917,2022-09-17,2022,3,9,Sep,17,Saturday,True
20220918,2022-09-18,2022,3,9,Sep,18,Sunday,True
20220919,2022-09-19,2022,3,9,Sep,19,Monday,False
20220920,2022-09-20,2022,3,9,Sep,20,Tuesday,False
20220921,2022-09-21,2022,3,9,Sep,21,Wednesday,False
20220922,2022-09-22,2022,3,9,Sep,22,Thursday,False
20220923,2022-09-23,2022,3,9,Sep,23,Friday,False
20220924,2022-09-24,2022,3,9,Sep,24,Saturday,True
20220925,2022-09-25,2022,3,9,Sep,25,Sunday,True
20220926,2022-09-26,2022,3,9,Sep,26,Monday,False
20220927,2022-09-27,2022,3,9,Sep,27,Tuesday,False
20220928,2022-09-28,2022,3,9,Sep,28,Wednesday,False
20220929,2022-09-29,2022,3,9,Sep,29,Thursday,False
20220930,2022-09-30,2022,3,9,Sep,30,Friday,False
20221001,2022-10-01,2022,4,10,Oct,1,Saturday,True
20221002,2022-10-02,2022,4,10,Oct,2,Sunday,True
20221003,2022-10-03,2022,4,10,Oct,3,Monday,False
20221004,2022-10-04,2022,4,10,Oct,4,Tuesday,False
20221005,2022-10-05,2022,4,10,Oct,5,Wednesday,False
20221006,2022-10-06,2022,4,10,Oct,6,Thursday,False
20221007,2022-10-07,2022,4,10,Oct,7,Friday,False
20221008,2022-10-08,2022,4,10,Oct,8,Saturday,True
20221009,2022-10-09,2022,4,10,Oct,9,Sunday,True
20221010,2022-10-10,2022,4,10,Oct,10,Monday,False
20221011,2022-10-11,2022,4,10,Oct,11,Tuesday,False
20221012,2022-10-12,2022,4,10,Oct,12,Wednesday,False
20221013,2022-10-13,2022,4,10,Oct,13,Thursday,False
20221014,2022-10-14,2022,4,10,Oct,14,Friday,False
20221015,2022-10-15,2022,4,10,Oct,15,Saturday,True
20221016,2022-10-16,2022,4,10,Oct,16,Sunday,True
20221017,2022-10-17,2022,4,10,Oct,17,Monday,False
20221018,2022-10-18,2022,4,10,Oct,18,Tuesday,False
20221019,2022-10-19,2022,4,10,Oct,19,Wednesday,False
20221020,2022-10-20,2022,4,10,Oct,20,Thursday,False
20221021,2022-10-21,2022,4,10,Oct,21,Friday,False
20221022,2022-10-22,2022,4,10,Oct,22,Saturday,True
20221023,2022-10-23,2022,4,10,Oct,23,Sunday,True
20221024,2022-10-24,2022,4,10,Oct,24,Monday,False
20221025,2022-10-25,2022,4,10,Oct,25,Tuesday,False
20221026,2022-10-26,2022,4,10,Oct,26,Wednesday,False
20221027,2022-10-27,2022,4,10,Oct,27,Thursday,False
20221028,2022-10-28,2022,4,10,Oct,28,Friday,False
20221029,2022-10-29,2022,4,10,Oct,29,Saturday,True
20221030,2022-10-30,2022,4,10,Oct,30,Sunday,True
20221031,2022-10-31,2022,4,10,Oct,31,Monday,False
20221101,2022-11-01,2022,4,11,Nov,1,Tuesday,False
20221102,2022-11-02,2022,4,11,Nov,2,Wednesday,False
20221103,2022-11-03,2022,4,11,Nov,3,Thursday,False
20221104,2022-11-04,2022,4,11,Nov,4,Friday,False
20221105,2022-11-05,2022,4,11,Nov,5,Saturday,True
