symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore_field
DOT,1713830400000,7.46700000,7.54300000,7.20500000,7.24200000,4802056.52000000,1713916799999,35496925.27651000,78516,2292492.45000000,16952568.65086000,0
DOT,1713916800000,7.24300000,7.50000000,6.85700000,6.93100000,6094306.22000000,1714003199999,43770713.70024000,101315,2902647.39000000,20865534.89409000,0
DOT,1714003200000,6.93200000,7.00100000,6.70300000,6.86200000,4296277.37000000,1714089599999,29522566.81950000,71088,2070719.19000000,14232491.92390000,0
DOT,1714089600000,6.86300000,6.95100000,6.71400000,6.76400000,4650325.63000000,1714175999999,31794011.83922000,67383,2329786.84000000,15933333.66580000,0
DOT,1714176000000,6.76500000,6.86600000,6.51100000,6.80700000,3888055.62000000,1714262399999,26004283.68863000,64779,1826729.01000000,12217169.33279000,0
DOT,1714262400000,6.80800000,6.95100000,6.69000000,6.72800000,2445507.20000000,1714348799999,16773666.67295000,43208,1164300.64000000,7990094.08078000,0
DOT,1714348800000,6.72600000,6.82600000,6.47000000,6.58700000,3658934.18000000,1714435199999,24113568.60672000,63006,1714087.54000000,11297763.72953000,0
DOT,1714435200000,6.58800000,6.66900000,6.04000000,6.42500000,7667235.19000000,1714521599999,48530605.89353000,115512,3984062.45000000,25224123.59206000,0
DOT,1714521600000,6.42300000,6.93500000,6.12900000,6.89900000,9928379.44000000,1714607999999,64889057.77625000,175570,4971837.62000000,32506459.70104000,0
DOT,1714608000000,6.90000000,7.40900000,6.69400000,7.27300000,5866303.67000000,1714694399999,41407190.75191000,109002,2989781.66000000,21089488.59573000,0
DOT,1714694400000,7.27200000,7.38600000,7.00200000,7.24500000,6917886.48000000,1714780799999,49700402.13008000,109634,3849841.15000000,27661016.19492000,0
DOT,1714780800000,7.24400000,7.28000000,7.10500000,7.12200000,3557671.87000000,1714867199999,25538079.66083000,71120,1842506.65000000,13228206.08575000,0
DOT,1714867200000,7.12200000,7.40000000,7.01400000,7.30200000,4163778.64000000,1714953599999,29929648.88411000,72928,2053134.89000000,14756410.06752000,0
DOT,1714953600000,7.30300000,7.47300000,7.06000000,7.12100000,4753151.15000000,1715039999999,34575115.49700000,94264,2300855.06000000,16740333.77776000,0
DOT,1715040000000,7.11900000,7.29500000,6.97900000,6.99300000,3682848.45000000,1715126399999,26341986.89067000,64947,1709117.46000000,12230777.07425000,0
DOT,1715126400000,6.99200000,7.18900000,6.89300000,6.98300000,3774626.84000000,1715212799999,26568875.86413000,75550,1826824.85000000,12866929.52023000,0
DOT,1715212800000,6.98200000,7.08900000,6.78200000,7.05000000,3379414.81000000,1715299199999,23494022.92313000,75016,1714347.12000000,11925299.52689000,0
DOT,1715299200000,7.04900000,7.14900000,6.69000000,6.74600000,4044018.42000000,1715385599999,28001136.53901000,86237,1924613.53000000,13347016.87152000,0
DOT,1715385600000,6.74500000,6.80900000,6.63500000,6.65900000,2377967.87000000,1715471999999,15990835.94362000,63809,1048777.60000000,7053251.24426000,0
DOT,1715472000000,6.65900000,6.79300000,6.58600000,6.61700000,1576234.91000000,1715558399999,10549981.05226000,40295,769472.16000000,5150212.10387000,0
DOT,1715558400000,6.61600000,6.82600000,6.43100000,6.66900000,3606786.80000000,1715644799999,24006845.24137000,74408,1731132.61000000,11533322.62222000,0
DOT,1715644800000,6.67100000,6.69800000,6.46900000,6.48500000,2744202.98000000,1715731199999,18115960.71576000,54763,1291300.56000000,8525969.83623000,0
DOT,1715731200000,6.48500000,7.02900000,6.46100000,6.96100000,4442558.01000000,1715817599999,29947707.03845000,93250,2306277.62000000,15550469.59919000,0
DOT,1715817600000,6.96100000,7.06600000,6.81200000,7.02500000,3415709.35000000,1715903999999,23688289.71924000,77104,1707446.04000000,11844582.16317000,0
DOT,1715904000000,7.02500000,7.29900000,6.99900000,7.19900000,4256397.78000000,1715990399999,30530613.07534000,93983,2134758.35000000,15305855.57678000,0
DOT,1715990400000,7.19800000,7.23200000,7.06300000,7.15700000,1889934.65000000,1716076799999,13528564.03044000,51738,860878.17000000,6163434.10025000,0
DOT,1716076800000,7.15700000,7.18000000,6.88900000,6.93100000,1874582.61000000,1716163199999,13172233.68275000,52561,894559.89000000,6285776.39470000,0
DOT,1716163200000,6.93000000,7.58400000,6.85100000,7.57500000,4828245.07000000,1716249599999,35050283.82313000,111128,2610174.24000000,18968986.89163000,0
DOT,1716249600000,7.57400000,7.67100000,7.42800000,7.61000000,4957810.67000000,1716335999999,37493727.53372000,114969,2454000.78000000,18562631.93695000,0
DOT,1716336000000,7.60900000,7.70100000,7.38000000,7.46700000,4310060.98000000,1716422399999,32562307.03784000,91907,2048867.98000000,15486686.52596000,0
DOT,1716422400000,7.46600000,7.60400000,6.89500000,7.20000000,8045710.66000000,1716508799999,58338996.81951000,165136,3925825.68000000,28452769.99132000,0
DOT,1716508800000,7.19900000,7.38600000,7.01700000,7.24400000,3827983.04000000,1716595199999,27592396.21948000,85145,1812949.94000000,13061893.69122000,0
DOT,1716595200000,7.24400000,7.43800000,7.22000000,7.42500000,2016462.27000000,1716681599999,14775929.55812000,45069,926347.08000000,6783145.35353000,0
DOT,1716681600000,7.42600000,7.64000000,7.36700000,7.55700000,2927564.39000000,1716767999999,21981848.74520000,71817,1400511.65000000,10516828.91013000,0
DOT,1716768000000,7.55600000,7.77500000,7.38000000,7.64000000,3611626.96000000,1716854399999,27354095.59829000,89866,1858086.60000000,14073135.01704000,0
DOT,1716854400000,7.64000000,7.66700000,7.27700000,7.37000000,4935005.61000000,1716940799999,36637189.71365000,111895,2385095.81000000,17705223.55607000,0
DOT,1716940800000,7.37100000,7.56200000,7.14500000,7.17800000,4221424.57000000,1717027199999,31004140.44929000,109760,1973918.49000000,14501964.03416000,0
DOT,1717027200000,7.17800000,7.24300000,6.92300000,6.99800000,4211075.50000000,1717113599999,29768830.26286000,121671,2204938.21000000,15581375.31031000,0
DOT,1717113600000,6.99700000,7.05400000,6.80300000,6.98400000,2478066.66000000,1717199999999,17240959.21724000,68972,1208066.71000000,8410678.60292000,0
DOT,1717200000000,6.98400000,7.13500000,6.95900000,7.06200000,1506527.64000000,1717286399999,10641340.31329000,38697,699304.06000000,4939521.71571000,0
DOT,1717286400000,7.06100000,7.12500000,6.91700000,6.98800000,1812466.32000000,1717372799999,12739228.39396000,44577,858015.48000000,6031048.69623000,0
DOT,1717372800000,6.98900000,7.19100000,6.93200000,7.00900000,3867604.77000000,1717459199999,27501440.82946000,70893,1912608.62000000,13606391.65968000,0
DOT,1717459200000,7.00900000,7.23600000,6.94100000,7.17700000,2889356.19000000,1717545599999,20510170.59585000,71252,1448252.26000000,10286069.31858000,0
DOT,1717545600000,7.17800000,7.29800000,7.14800000,7.25100000,2836358.18000000,1717631999999,20489701.47158000,66081,1306097.36000000,9438808.75676000,0
DOT,1717632000000,7.25000000,7.28800000,7.05600000,7.14400000,2433999.18000000,1717718399999,17531588.67298000,59115,1075485.45000000,7748246.92838000,0
DOT,1717718400000,7.14500000,7.29100000,6.05300000,6.65900000,8416185.59000000,1717804799999,56571253.44670000,206977,3943837.68000000,26463881.85065000,0
DOT,1717804800000,6.65900000,6.68300000,6.33800000,6.38400000,3615115.34000000,1717891199999,23479748.53344000,90111,1697515.65000000,11020442.48269000,0
DOT,1717891200000,6.38400000,6.54000000,6.37500000,6.52700000,2659717.39000000,1717977599999,17204100.31419000,61660,1458773.00000000,9431728.35544000,0
DOT,1717977600000,6.52700000,6.58200000,6.35700000,6.50600000,2942181.04000000,1718063999999,19083975.95825000,78223,1439742.27000000,9337581.59730000,0
DOT,1718064000000,6.50600000,6.52700000,6.21700000,6.37800000,5420734.07000000,1718150399999,34467834.53315000,123800,2466887.85000000,15687973.27384000,0
DOT,1718150400000,6.37800000,6.93100000,6.27600000,6.73800000,7033186.82000000,1718236799999,46892490.86663000,149956,3149349.42000000,20990255.97458000,0
DOT,1718236800000,6.73700000,6.74300000,6.33600000,6.35900000,3581239.76000000,1718323199999,23256263.33168000,88271,1709576.92000000,11105291.20245000,0
DOT,1718323200000,6.36000000,6.48800000,6.00000000,6.16300000,5069082.95000000,1718409599999,31653591.82174000,127400,2552447.64000000,15948819.21839000,0
DOT,1718409600000,6.16200000,6.25800000,6.10900000,6.22300000,1928449.76000000,1718495999999,11946251.60148000,38259,927573.60000000,5746535.49870000,0
DOT,1718496000000,6.22300000,6.42800000,6.14900000,6.39600000,3423193.06000000,1718582399999,21562302.44530000,53738,1471513.86000000,9268357.11779000,0
DOT,1718582400000,6.39700000,6.41800000,5.98700000,6.06900000,4149733.54000000,1718668799999,25729861.79515000,91593,1807884.81000000,11208575.82545000,0
