symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore_field
MATIC,1662940800000,0.89340000,0.94040000,0.87170000,0.93010000,102118481.70000000,1663027199999,93200538.44075000,271807,52053632.90000000,47491403.49623000,0
MATIC,1663027200000,0.93010000,0.94360000,0.83890000,0.84610000,120684228.20000000,1663113599999,107593345.62798000,305391,60595270.70000000,54067640.57377000,0
MATIC,1663113600000,0.84600000,0.86820000,0.83020000,0.86450000,59338753.10000000,1663199999999,50573516.80836000,149172,28846586.80000000,24582616.85117000,0
MATIC,1663200000000,0.86460000,0.87610000,0.81750000,0.82510000,72521132.70000000,1663286399999,61277913.72155000,186030,36301039.70000000,30672596.97453000,0
MATIC,1663286400000,0.82520000,0.83130000,0.78730000,0.80690000,52889683.60000000,1663372799999,42776715.43352000,142528,26695955.00000000,21594388.38406000,0
MATIC,1663372800000,0.80680000,0.83110000,0.80490000,0.82790000,27039758.30000000,1663459199999,22105313.19655000,66821,12831834.10000000,10492694.27839000,0
MATIC,1663459200000,0.82800000,0.83670000,0.75000000,0.75330000,64802222.70000000,1663545599999,51932252.56498000,145785,30334802.00000000,24295611.72547000,0
MATIC,1663545600000,0.75330000,0.77540000,0.72480000,0.76550000,73085404.00000000,1663631999999,54821951.52659000,179668,35556547.60000000,26653485.99955000,0
MATIC,1663632000000,0.76530000,0.76920000,0.73000000,0.73330000,48949348.20000000,1663718399999,36651726.31034000,109759,23937384.90000000,17923152.97857000,0
MATIC,1663718400000,0.73330000,0.77800000,0.69010000,0.70070000,95101361.40000000,1663804799999,69705588.86644000,218083,47305254.30000000,34686660.18394000,0
MATIC,1663804800000,0.70060000,0.76280000,0.70030000,0.75210000,70671776.60000000,1663891199999,52268747.86924000,146806,35784843.50000000,26483786.54961000,0
MATIC,1663891200000,0.75230000,0.78550000,0.72280000,0.77840000,84151419.40000000,1663977599999,63177624.97537000,173950,41718496.50000000,31336156.90686000,0
MATIC,1663977600000,0.77840000,0.78240000,0.75000000,0.75270000,42348151.60000000,1664063999999,32588484.59220000,92391,20728374.90000000,15950780.12148000,0
MATIC,1664064000000,0.75280000,0.76710000,0.73100000,0.73970000,37385050.30000000,1664150399999,28122616.59885000,82484,18771084.40000000,14122445.20901000,0
MATIC,1664150400000,0.73950000,0.76160000,0.72620000,0.75570000,66516406.60000000,1664236799999,49571658.45858000,140893,33195156.00000000,24741297.97749000,0
MATIC,1664236800000,0.75570000,0.79370000,0.72610000,0.73890000,99429969.00000000,1664323199999,76024934.68091000,181056,49559198.80000000,37836012.73073000,0
MATIC,1664323200000,0.73900000,0.75490000,0.71200000,0.74730000,55942554.10000000,1664409599999,41115362.67441000,117617,27116867.40000000,19937792.39415000,0
MATIC,1664409600000,0.74730000,0.76480000,0.73110000,0.76310000,59553845.50000000,1664495999999,44545926.96782000,110870,28662161.30000000,21442820.00171000,0
MATIC,1664496000000,0.76350000,0.78970000,0.76050000,0.77780000,74769580.50000000,1664582399999,57971958.08167000,142495,36871302.40000000,28592717.28624000,0
MATIC,1664582400000,0.77810000,0.78130000,0.75930000,0.76700000,25219685.50000000,1664668799999,19442983.89553000,53974,11494550.00000000,8862082.69043000,0
MATIC,1664668800000,0.76690000,0.78380000,0.76110000,0.76310000,36168037.10000000,1664755199999,27919950.85221000,70344,17358916.60000000,13400951.05207000,0
MATIC,1664755200000,0.76320000,0.80730000,0.75440000,0.80020000,64369980.30000000,1664841599999,50463164.61171000,117450,32531446.80000000,25502661.92986000,0
MATIC,1664841600000,0.80020000,0.84370000,0.79990000,0.83510000,69927621.70000000,1664927999999,57871672.90308000,130581,36946174.70000000,30585841.27049000,0
MATIC,1664928000000,0.83510000,0.86070000,0.82090000,0.85120000,71309080.50000000,1665014399999,59855646.51876000,132095,35659481.90000000,29933215.52097000,0
MATIC,1665014400000,0.85120000,0.85960000,0.83030000,0.83360000,56063871.00000000,1665100799999,47326051.97601000,101241,27972891.70000000,23610731.18000000,0
MATIC,1665100800000,0.83350000,0.84820000,0.81860000,0.83150000,43204613.60000000,1665187199999,36126776.05471000,88529,22089308.30000000,18473959.69190000,0
MATIC,1665187200000,0.83140000,0.83500000,0.80810000,0.81440000,22349110.00000000,1665273599999,18336713.47901000,47179,10690499.90000000,8772179.34438000,0
MATIC,1665273600000,0.81440000,0.82990000,0.80800000,0.82550000,22036160.20000000,1665359999999,18092252.52006000,43695,10892594.70000000,8941656.21952000,0
MATIC,1665360000000,0.82550000,0.84310000,0.81160000,0.81360000,52677506.30000000,1665446399999,43767935.13103000,98118,27057905.50000000,22489985.41504000,0
MATIC,1665446400000,0.81360000,0.81360000,0.78450000,0.79090000,47553455.40000000,1665532799999,38034777.67489000,93930,23594702.20000000,18871907.43251000,0
MATIC,1665532800000,0.79090000,0.80180000,0.78190000,0.78290000,25450425.70000000,1665619199999,20160912.25043000,59487,12578354.70000000,9964751.38866000,0
MATIC,1665619200000,0.78270000,0.78750000,0.71560000,0.77500000,70217913.90000000,1665705599999,52764022.02755000,168725,34011542.00000000,25555938.55560000,0
MATIC,1665705600000,0.77480000,0.82280000,0.77470000,0.79330000,56700990.90000000,1665791999999,45514763.05958000,138600,28764185.40000000,23087463.12235000,0
MATIC,1665792000000,0.79330000,0.81000000,0.78590000,0.78920000,27921576.10000000,1665878399999,22271252.08863000,80660,13296315.80000000,10608672.15334000,0
