symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore_field
TRX,1715644800000,0.12561000,0.12588000,0.12474000,0.12546000,198863514.60000000,1715731199999,24905029.71560700,89112,97891854.90000000,12261501.21949500,0
TRX,1715731200000,0.12547000,0.12677000,0.12530000,0.12633000,180402338.10000000,1715817599999,22701855.67782100,85826,99864415.50000000,12568799.03922500,0
TRX,1715817600000,0.12633000,0.12666000,0.12418000,0.12500000,306505678.50000000,1715903999999,38342092.08799100,145930,154248084.50000000,19297115.95199900,0
TRX,1715904000000,0.12500000,0.12511000,0.12395000,0.12434000,236159593.40000000,1715990399999,29406080.03811700,117447,105490378.60000000,13135515.13770000,0
TRX,1715990400000,0.12434000,0.12454000,0.12296000,0.12299000,167537381.90000000,1716076799999,20729162.80663200,108999,76450341.00000000,9460691.83978700,0
TRX,1716076800000,0.12299000,0.12316000,0.12053000,0.12117000,193241530.90000000,1716163199999,23497235.46563200,96938,89874801.50000000,10929147.73980800,0
TRX,1716163200000,0.12116000,0.12443000,0.12092000,0.12442000,281818651.60000000,1716249599999,34504255.38669300,96607,152489233.10000000,18680724.62813900,0
TRX,1716249600000,0.12442000,0.12459000,0.12277000,0.12361000,288558071.50000000,1716335999999,35674694.96722300,95313,145868056.60000000,18033713.77017000,0
TRX,1716336000000,0.12361000,0.12384000,0.12001000,0.12007000,251886546.20000000,1716422399999,30709925.18829300,98363,124529376.40000000,15183080.48532700,0
TRX,1716422400000,0.12007000,0.12007000,0.11379000,0.11532000,365698716.00000000,1716508799999,42681563.87892400,136446,178603034.00000000,20848490.93374200,0
TRX,1716508800000,0.11532000,0.11571000,0.11329000,0.11547000,323669789.10000000,1716595199999,37088363.06397600,102422,170783249.40000000,19576309.35430200,0
TRX,1716595200000,0.11547000,0.11605000,0.11316000,0.11378000,277629797.10000000,1716681599999,31708360.36429000,92597,156714050.30000000,17908345.31601800,0
TRX,1716681600000,0.11378000,0.11411000,0.11272000,0.11311000,176476714.00000000,1716767999999,20047310.80523900,63126,95579013.20000000,10860824.50843300,0
TRX,1716768000000,0.11312000,0.11325000,0.11085000,0.11250000,359209797.70000000,1716854399999,40249772.84884500,117507,186008114.60000000,20835829.58350100,0
TRX,1716854400000,0.11250000,0.11258000,0.11032000,0.11118000,328778506.60000000,1716940799999,36594672.15937100,107758,164284237.20000000,18281908.49516800,0
TRX,1716940800000,0.11118000,0.11245000,0.11096000,0.11210000,256588322.20000000,1717027199999,28670545.78619300,93201,135329352.80000000,15122130.30477900,0
TRX,1717027200000,0.11210000,0.11225000,0.11041000,0.11198000,235323559.10000000,1717113599999,26236614.40756900,92598,119260438.40000000,13302141.79551500,0
TRX,1717113600000,0.11199000,0.11277000,0.11096000,0.11213000,252867056.00000000,1717199999999,28283842.76583400,92692,133783210.60000000,14965011.21847900,0
TRX,1717200000000,0.11212000,0.11296000,0.11090000,0.11262000,165186405.30000000,1717286399999,18482279.48376300,73298,87388544.00000000,9775967.71329300,0
