"date_id","full_date","coin_id","symbol","full_name","category_id","category_name","risk_level","open","high","low","close","volume_base","volume_usd","return_pct","log_return","volatility","average_price","z_score_close","is_anomaly","volume_rank","market_dominance_pct","regime_label"
"20220912","2022-09-12","10","MATIC","Polygon","2","L2","Mid","0.8934","0.9404","0.8717","0.9301","102118481.7","94980399.83","4.1079","0.040258","0.0687","0.90605",,"False","1","100","Bull"
"20220913","2022-09-13","10","MATIC","Polygon","2","L2","Mid","0.9301","0.9436","0.8389","0.8461","120684228.2","102110925.48","-9.0313","-0.094655","0.1047","0.89125","-0.7071","False","1","100","Bear"
"20220914","2022-09-14","10","MATIC","Polygon","2","L2","Mid","0.846","0.8682","0.8302","0.8645","59338753.1","51298352.05","2.1868","0.021632","0.038","0.8492","-0.3563","False","1","100","Sideways"
"20220915","2022-09-15","10","MATIC","Polygon","2","L2","Mid","0.8646","0.8761","0.8175","0.8251","72521132.7","59837186.59","-4.5686","-0.046762","0.0586","0.8468","-0.9111","False","1","100","Bear"
"20220916","2022-09-16","10","MATIC","Polygon","2","L2","Mid","0.8252","0.8313","0.7873","0.8069","52889683.6","42676685.7","-2.2176","-0.022426","0.044","0.8093","-1.0034","False","1","100","Sideways"
"20220917","2022-09-17","10","MATIC","Polygon","2","L2","Mid","0.8068","0.8311","0.8049","0.8279","27039758.3","22386215.9","2.6153","0.025817","0.0262","0.818","-0.5064","False","1","100","Sideways"
"20220918","2022-09-18","10","MATIC","Polygon","2","L2","Mid","0.828","0.8367","0.75","0.7533","64802222.7","48815514.36","-9.0217","-0.09455","0.0867","0.79335","-1.5303","False","1","100","Bear"
"20220919","2022-09-19","10","MATIC","Polygon","2","L2","Mid","0.7533","0.7754","0.7248","0.7655","73085404","55946876.76","1.6195","0.016066","0.0506","0.7501","-1.1041","False","1","100","Sideways"
"20220920","2022-09-20","10","MATIC","Polygon","2","L2","Mid","0.7653","0.7692","0.73","0.7333","48949348.2","35894557.04","-4.1814","-0.042713","0.0392","0.7496","-1.3686","False","1","100","Bear"
"20220921","2022-09-21","10","MATIC","Polygon","2","L2","Mid","0.7333","0.778","0.6901","0.7007","95101361.4","66637523.93","-4.4457","-0.045475","0.0879","0.73405","-1.5306","False","1","100","Bear"
"20220922","2022-09-22","10","MATIC","Polygon","2","L2","Mid","0.7006","0.7628","0.7003","0.7521","70671776.6","53152243.18","7.3508","0.070932","0.0625","0.73155","-0.7244","False","1","100","Bull"
"20220923","2022-09-23","10","MATIC","Polygon","2","L2","Mid","0.7523","0.7855","0.7228","0.7784","84151419.4","65503464.86","3.4694","0.034105","0.0627","0.75415","-0.3164","False","1","100","Bull"
"20220924","2022-09-24","10","MATIC","Polygon","2","L2","Mid","0.7784","0.7824","0.75","0.7527","42348151.6","31875453.71","-3.3016","-0.033574","0.0324","0.7662","-0.6776","False","1","100","Bear"
"20220925","2022-09-25","10","MATIC","Polygon","2","L2","Mid","0.7528","0.7671","0.731","0.7397","37385050.3","27653721.71","-1.7402","-0.017555","0.0361","0.74905","-0.8308","False","1","100","Sideways"
"20220926","2022-09-26","10","MATIC","Polygon","2","L2","Mid","0.7395","0.7616","0.7262","0.7557","66516406.6","50266448.47","2.1907","0.02167","0.0354","0.7439","-0.5481","False","1","100","Sideways"
"20220927","2022-09-27","10","MATIC","Polygon","2","L2","Mid","0.7557","0.7937","0.7261","0.7389","99429969","73468804.09","-2.2231","-0.022482","0.0676","0.7599","-0.7841","False","1","100","Sideways"
"20220928","2022-09-28","10","MATIC","Polygon","2","L2","Mid","0.739","0.7549","0.712","0.7473","55942554.1","41805870.68","1.1231","0.011169","0.0429","0.73345","-0.6173","False","1","100","Sideways"
"20220929","2022-09-29","10","MATIC","Polygon","2","L2","Mid","0.7473","0.7648","0.7311","0.7631","59553845.5","45445539.5","2.1143","0.020922","0.0337","0.74795","-0.3369","False","1","100","Sideways"
"20220930","2022-09-30","10","MATIC","Polygon","2","L2","Mid","0.7635","0.7897","0.7605","0.7778","74769580.5","58155779.71","1.873","0.018556","0.0292","0.7751","-0.0769","False","1","100","Sideways"
"20221001","2022-10-01","10","MATIC","Polygon","2","L2","Mid","0.7781","0.7813","0.7593","0.767","25219685.5","19343498.78","-1.4266","-0.014368","0.022","0.7703","-0.2649","False","1","100","Sideways"
"20221002","2022-10-02","10","MATIC","Polygon","2","L2","Mid","0.7669","0.7838","0.7611","0.7631","36168037.1","27599829.11","-0.4955","-0.004967","0.0227","0.77245","-0.3285","False","1","100","Sideways"
